(29.0010,-125.3579,744.2720)	(60.2071,-125.6075,746.0837)	(47.6346,-85.8328,749.3384)	(48.3696,-63.4497,746.3852)	(-0.2449,-110.5599,757.4808)	(27.1834,-107.4170,752.3456)	(64.0306,-110.2194,754.1303)	(92.7066,-119.2711,763.9386)	(25.3489,-46.9486,771.6129)	(52.4327,-50.2063,761.4492)	(78.0625,-49.7932,775.3038)	(51.7745,-37.2462,766.4941)
(28.9971,-124.3937,744.2827)	(58.9128,-124.3158,746.0980)	(46.3318,-85.8328,749.3365)	(48.3735,-63.4575,746.3905)	(-0.2409,-110.8542,757.4808)	(27.0497,-107.4170,752.3438)	(62.7173,-110.2155,754.1303)	(92.7106,-117.9524,763.9622)	(25.3489,-46.9486,771.6129)	(51.1125,-50.2103,761.4492)	(78.0504,-49.7932,775.2853)	(51.5871,-37.2462,766.4922)
(28.9971,-124.0658,744.2773)	(58.9128,-124.3158,746.0928)	(46.3318,-85.8328,749.3384)	(48.6636,-63.5439,747.3843)	(-0.2409,-110.5599,757.4808)	(27.0497,-107.1297,752.3419)	(62.7173,-110.2194,754.1376)	(92.7026,-119.1218,763.9258)	(25.2347,-46.8240,769.6141)	(51.1125,-50.2103,761.4546)	(78.0585,-49.7932,775.2909)	(51.7745,-36.0089,766.5070)
(30.2879,-124.0619,744.2702)	(58.6887,-123.9804,744.1183)	(46.1424,-85.8289,749.3259)	(48.6636,-63.7090,747.3843)	(-1.5038,-110.8582,759.4866)	(27.1834,-107.4170,752.3475)	(62.7173,-110.2234,754.1376)	(92.7026,-117.9444,763.9495)	(25.3489,-46.9486,771.6129)	(51.1204,-50.2103,761.4584)	(78.0625,-49.7932,775.2928)	(51.7745,-36.0089,766.5089)
(29.0010,-125.3579,744.2720)	(59.9794,-126.5529,744.0953)	(47.4418,-85.8211,749.3134)	(48.3812,-63.4575,746.4102)	(-0.2409,-110.5599,757.4808)	(27.0497,-107.1297,752.3438)	(64.0306,-110.2194,754.1376)	(92.7145,-117.9524,763.9695)	(25.2307,-46.8240,769.6196)	(51.1204,-50.2142,761.4603)	(78.0585,-49.7932,775.2853)	(51.7745,-37.3385,766.4941)
(28.9971,-124.0658,746.2503)	(58.6925,-123.9804,744.1025)	(46.1424,-85.8211,749.3206)	(48.4676,-63.4575,746.4102)	(-0.2409,-110.8542,757.4808)	(27.0458,-107.1297,752.3384)	(64.0306,-110.2194,754.1303)	(91.2414,-119.1258,763.9258)	(25.3489,-46.9486,771.6129)	(51.1244,-50.2142,761.4603)	(76.4525,-49.7932,773.3206)	(51.7785,-36.0089,768.4888)
(30.4322,-124.0658,746.2432)	(58.6887,-123.9804,744.1006)	(47.4457,-87.1296,749.3206)	(48.6636,-63.5439,746.4139)	(-0.2449,-110.5599,757.4808)	(27.1834,-107.4170,752.3456)	(64.0306,-110.2155,754.1303)	(92.7145,-117.9524,763.9750)	(25.3489,-46.9486,771.6129)	(51.1204,-50.2103,761.4565)	(76.4485,-49.7932,773.3206)	(51.7785,-36.0089,768.4833)
(29.0010,-125.3579,744.2758)	(58.6925,-125.2725,744.1043)	(47.6346,-85.8289,749.3259)	(48.4676,-63.5439,746.4173)	(-0.2409,-110.8542,757.4808)	(27.0497,-107.1297,752.3384)	(62.7173,-110.2234,754.1376)	(91.2335,-119.1218,762.9655)	(26.5686,-46.8200,769.6068)	(51.1204,-50.2103,761.4584)	(76.4565,-49.7932,773.3187)	(51.7745,-37.3425,766.4960)
(29.0010,-125.3579,744.2720)	(60.2109,-125.6075,746.0803)	(47.6346,-86.0489,749.3438)	(48.6636,-63.5439,747.3843)	(-0.2449,-110.5599,757.4808)	(27.0497,-107.1297,752.3419)	(64.0306,-110.2155,754.1303)	(92.7066,-117.9444,763.9495)	(25.2307,-46.8240,769.6141)	(51.1125,-50.2103,761.4546)	(78.0504,-49.7892,775.2779)	(51.7745,-37.3425,766.4960)
(29.0010,-125.3579,744.2720)	(60.1993,-124.3003,746.0837)	(46.1424,-85.8328,749.3294)	(48.3735,-63.4575,746.3905)	(-0.2449,-110.5599,757.4808)	(27.1834,-107.4170,752.3456)	(62.7134,-109.0478,756.1260)	(92.7106,-117.9524,763.9568)	(25.3489,-46.9486,771.6129)	(51.1204,-50.2103,761.4584)	(76.4565,-48.4458,775.2909)	(51.5832,-36.0049,766.5143)
(28.9971,-124.0658,744.2773)	(58.9051,-124.3158,746.0909)	(47.6346,-86.0489,751.3024)	(48.4676,-63.5439,746.4192)	(-0.2409,-110.8542,757.4808)	(27.0458,-107.1297,752.3384)	(64.0306,-110.2194,754.1231)	(91.2374,-117.7969,762.9837)	(25.2307,-46.8240,769.6141)	(51.1204,-50.2103,761.4565)	(76.4525,-48.4458,773.3242)	(51.7745,-36.0089,766.5070)
(29.0010,-125.3579,744.2720)	(58.9128,-124.3158,746.0980)	(47.6346,-85.8289,749.3312)	(48.4676,-63.5439,746.4192)	(-0.2409,-110.5599,757.4808)	(27.0497,-107.4170,752.3438)	(62.7173,-110.2234,754.1448)	(92.7066,-117.9484,763.9549)	(25.3489,-46.9486,771.6129)	(51.1204,-50.2103,761.4584)	(76.4565,-49.7317,773.3187)	(51.5832,-36.0049,768.4833)
(29.1418,-124.4015,746.2753)	(58.6925,-125.2570,744.1006)	(47.6385,-87.1335,749.3331)	(48.4676,-63.4575,746.4120)	(-0.2409,-110.8542,757.4808)	(27.1834,-107.4170,752.3456)	(64.0306,-110.2194,754.1322)	(93.0057,-118.2554,765.9337)	(25.2347,-46.8240,771.6110)	(51.1204,-50.2103,761.4565)	(76.4565,-48.4499,775.2909)	(51.7745,-36.0089,766.5070)
