(-5.0534,13.4914,590.0182)	(-47.7885,-18.1098,614.1326)	(-23.3219,-15.8214,612.0030)	(15.8758,-16.7607,610.7936)	(39.5978,-17.8720,616.6547)	(-5.9994,42.5044,595.1306)	
(-7.1296,13.4647,589.0354)	(-49.9513,-20.2821,615.1358)	(-25.4346,-17.9798,612.0076)	(14.8229,-17.8274,610.7879)	(38.5253,-18.9160,614.6547)	(-8.0626,42.4951,595.1378)	
(-7.0629,11.4545,591.0154)	(-49.9109,-20.2472,614.1356)	(-25.4346,-17.9798,612.0076)	(12.6950,-17.8337,610.7981)	(38.4318,-20.9776,614.6298)	(-7.0612,41.4014,594.1533)	
(-9.1391,11.4312,590.0268)	(-52.1776,-18.2172,617.1537)	(-27.5565,-17.9862,612.0238)	(12.6918,-17.8337,610.7966)	(38.5380,-16.8731,614.6547)	(-9.1476,41.3280,593.1687)	
(-9.1391,11.4312,590.0324)	(-52.1712,-20.3585,617.1450)	(-27.5565,-17.9862,612.0178)	(12.6950,-17.8305,610.7938)	(36.2066,-20.9808,613.6687)	(-11.1806,41.3859,594.1634)	
(-9.1391,11.4312,590.0324)	(-52.0836,-20.2886,615.1476)	(-27.5502,-20.1102,612.0091)	(12.6397,-19.9196,609.7899)	(36.1133,-20.9477,612.6635)	(-9.1476,41.3280,593.1546)	
(-9.1659,11.4141,589.0496)	(-52.0931,-18.1542,615.1606)	(-27.5565,-17.9862,612.0178)	(12.6429,-17.8025,609.8060)	(36.2066,-18.8599,613.6759)	(-11.2038,41.3218,593.1717)	
(-9.1391,11.4312,590.0268)	(-52.1712,-20.3585,617.1450)	(-27.5461,-20.0753,611.0180)	(12.6461,-19.9196,609.7914)	(36.2097,-20.9840,613.6731)	(-11.2038,41.3280,593.1872)	
(-11.2084,11.4110,589.0552)	(-52.1712,-20.3585,617.1450)	(-27.5565,-17.9862,612.0224)	(12.6397,-17.8025,609.8044)	(36.3062,-20.9840,614.6504)	(-11.1806,41.3890,594.1662)	
(-11.1850,11.4250,590.0438)	(-54.3577,-20.4000,618.1598)	(-29.6721,-20.1166,612.0238)	(10.5247,-19.9260,609.7986)	(35.1407,-19.9533,612.6548)	(-11.1744,39.3273,594.1535)	
