(-100.7096,18.8108,838.7791)	(-150.3222,4.0709,870.7999)	(-126.3190,4.1347,872.7479)	(-93.6427,5.7833,883.5452)	(-68.0714,4.3256,890.5265)	(-98.8344,53.8471,837.1225)
(-100.7096,18.8108,838.7553)	(-148.8125,4.0771,870.7985)	(-126.3232,4.1454,874.6971)	(-92.3386,5.7963,883.6043)	(-68.0714,4.3256,890.5265)	(-98.8344,53.7267,837.1312)
(-100.7137,21.6200,840.7463)	(-152.1190,4.0728,874.8007)	(-126.6760,3.2248,874.6971)	(-90.8047,4.2521,883.5490)	(-68.0671,3.2248,890.4921)	(-97.7141,55.1759,839.0871)
(-89.8841,24.4505,834.7638)	(-144.5490,11.6915,874.8315)	(-120.2663,10.2443,874.7279)	(-83.1222,10.4360,886.6023)	(-60.4037,9.0099,893.5626)	(-90.2859,61.0342,839.0979)
(-85.9693,26.1234,836.7721)	(-140.4007,14.7837,877.8462)	(-116.0391,14.8524,877.7528)	(-80.0544,12.0028,886.6205)	(-57.3048,10.6056,893.5718)	(-85.9372,63.9613,839.1649)
(-91.4959,27.5678,838.7747)	(-143.4459,16.3003,877.8568)	(-120.6069,14.8352,877.7686)	(-81.5969,13.5436,886.6403)	(-60.3369,13.6687,893.5718)	(-90.4423,64.0937,841.1135)
(-97.6368,26.0905,836.8597)	(-150.6186,11.6744,874.8525)	(-126.6888,10.2469,877.7648)	(-90.8132,10.4230,886.6023)	(-68.0801,10.5454,890.6045)	(-96.1098,61.0178,839.1368)
(-87.2817,25.9981,834.7860)	(-140.0137,14.7837,877.8214)	(-117.2400,13.2885,874.7227)	(-78.6376,12.0226,886.6677)	(-55.7553,12.1620,895.5325)	(-87.5336,64.1019,841.1222)
(-78.6893,29.1313,842.7488)	(-131.2693,14.8224,877.8251)	(-107.0908,14.8961,877.7287)	(-70.8294,15.1017,886.5764)	(-47.9385,15.2610,893.5089)	(-77.2074,64.1431,839.1210)
(-73.2975,29.0821,840.7427)	(-125.1874,16.3475,877.8078)	(-100.8131,13.3745,877.7039)	(-66.0743,15.0745,883.5846)	(-44.7701,15.2293,890.5028)	(-72.8425,65.4515,841.0667)
(-69.6319,33.2572,834.7975)	(-122.3643,19.4475,879.8059)	(-97.7763,17.9542,877.7219)	(-59.9508,18.2093,886.5536)	(-37.0947,18.3975,893.5204)	(-68.4816,68.3827,839.1094)
(-64.3130,38.0368,844.7971)	(-114.7467,24.0506,879.8399)	(-91.6987,22.5468,877.7490)	(-52.2943,21.3299,881.6777)	(-30.8811,23.0028,890.5327)	(-62.7646,74.3938,841.1172)
(-52.7965,42.6508,846.8469)	(-102.5637,27.1423,879.8459)	(-78.1423,27.1566,877.7498)	(-41.5804,27.3691,881.6248)	(-21.6300,27.6895,890.5029)	(-49.7143,76.0769,841.1619)
(-39.4919,47.1167,846.7619)	(-90.5087,34.8873,879.8686)	(-67.4684,34.8886,879.7803)	(-27.8154,35.2532,886.6099)	(-6.2018,33.9109,890.5472)	(-40.9165,83.2249,841.1539)
(0.0000,0.0000,0.0000)	(-72.0593,37.9372,879.8339)	(-49.1641,37.9889,877.7913)	(-12.4462,39.9189,886.6396)	(10.9185,38.7211,893.5488)	(-23.4275,86.4056,841.1280)
(-24.6678,47.1623,836.7966)	(-70.4078,37.9286,879.8143)	(-46.1119,36.4731,879.7116)	(-10.9080,38.3825,886.6016)	(12.3399,37.0586,890.5227)	(-21.9650,84.9454,841.0833)
(-23.3062,45.4834,838.7467)	(-70.5077,33.3514,879.7712)	(-46.0991,31.8873,877.7182)	(-10.9289,33.7602,883.6005)	(12.3399,33.9632,890.4684)	(-21.9697,81.8339,837.0745)
(-20.4169,43.8348,836.7097)	(-68.8852,28.7161,877.7415)	(-44.5193,28.7890,877.6481)	(-9.4347,30.5282,881.5620)	(13.8200,30.8101,888.4498)	(-19.0627,78.5522,837.0184)
(-10.3051,36.6565,844.5506)	(-61.1174,24.0820,874.6514)	(-35.3429,22.6391,874.5530)	(-0.2275,21.3701,881.4136)	(23.1861,20.0351,888.3201)	(-8.7565,71.7993,840.9180)
(-1.6216,30.4921,877.5081)	(-48.9698,18.0365,874.5560)	(-26.1975,16.5325,870.4727)	(10.4208,13.7160,879.3190)	(33.8919,13.8885,888.2141)	(1.2948,65.6607,838.8367)
(7.1421,24.7709,834.4365)	(-41.3743,12.0039,874.5013)	(-20.1181,10.5352,874.3864)	(19.5815,12.1756,879.2390)	(42.7820,10.7747,883.1410)	(8.4137,59.5898,832.7756)
(15.9516,21.8091,830.3231)	(-33.7746,10.4839,874.4247)	(-9.5267,9.0191,872.3300)	(30.1604,7.6474,877.1917)	(51.8194,6.1872,881.0717)	(18.4300,57.9007,830.7345)
(21.7941,3.2248,836.1496)	(-24.6238,-6.1665,870.2545)	(-0.5036,-7.5865,868.1427)	(34.5676,-9.1249,873.9781)	(57.7972,-12.1457,878.9023)	(25.9302,39.3284,834.5175)
(12.0215,-2.7713,834.1105)	(-33.6529,-18.2960,870.1633)	(-11.0147,-21.1934,868.0518)	(28.3014,-24.1776,869.8973)	(50.0393,-25.8586,876.7955)	(17.2743,27.7003,834.3964)
(8.3876,-15.6429,826.0477)	(-36.6252,-27.3121,868.0801)	(-16.9999,-27.3313,867.9734)	(20.9661,-31.8441,871.8320)	(44.1307,-33.5722,878.6902)	(9.8129,17.4362,828.3380)
(17.0246,-27.0417,825.9101)	(-30.5552,-40.8807,867.9407)	(-7.9954,-43.6735,864.8231)	(31.4931,-45.3593,869.7075)	(53.3126,-47.3082,876.6539)	(21.5640,7.3963,832.2267)
(21.3591,-35.6321,823.7935)	(-26.0085,-48.4113,864.8840)	(-3.4775,-51.1823,864.7072)	(34.4107,-53.0318,871.5414)	(56.2231,-54.8148,876.4581)	(24.1193,0.1916,826.1747)
(20.2888,-47.2268,825.6611)	(-27.4619,-63.1308,862.7211)	(-3.4846,-65.9087,860.6100)	(34.3171,-66.5028,867.4471)	(57.3018,-69.4990,871.3594)	(22.8358,-12.7801,828.0073)
(18.5268,-52.9771,825.6440)	(-28.9477,-67.6376,862.6773)	(-6.4728,-70.5758,860.5834)	(32.8311,-72.4020,867.4241)	(55.8090,-74.2068,871.3414)	(21.4142,-18.5442,827.9817)
(12.9088,-58.7273,825.5965)	(-34.8963,-74.9771,860.6359)	(-12.4694,-76.4197,860.5198)	(26.8115,-79.6878,864.3877)	(49.5912,-81.6071,869.2794)	(17.0166,-24.2582,827.8956)
(11.2969,-61.6126,825.5745)	(-36.3787,-76.6594,860.6447)	(-13.9517,-78.0969,860.5109)	(23.8060,-81.1878,864.3542)	(45.0724,-83.1243,869.2121)	(14.1522,-25.6947,825.9285)
(11.2969,-61.4598,823.5995)	(-34.8922,-76.4913,860.6077)	(-13.9517,-78.1095,858.4935)	(22.1494,-81.1963,864.3594)	(46.5787,-83.1158,867.3256)	(14.0584,-27.1313,825.8980)
(12.5422,-62.7286,821.5914)	(-34.8880,-77.9718,860.5952)	(-13.9475,-78.1095,858.5024)	(23.8102,-81.4760,864.3542)	(48.0976,-83.1243,869.2510)	(15.4891,-28.5597,825.8760)
(12.5502,-62.5683,821.5461)	(-34.8880,-77.9718,858.6005)	(-12.4810,-79.2184,856.4762)	(25.1530,-81.1836,864.3491)	(48.0976,-83.1201,869.2263)	(16.9198,-28.4869,823.9294)
(14.0840,-65.4166,819.5396)	(-31.8773,-82.2567,858.5481)	(-10.9855,-83.4769,856.4357)	(26.5446,-85.4869,862.3038)	(49.4543,-87.4546,867.2302)	(17.0446,-29.9079,823.8586)
(12.5581,-65.4166,819.5381)	(-34.8476,-79.4860,858.5673)	(-12.4727,-82.2104,856.4446)	(23.5438,-85.4954,862.3038)	(47.9473,-87.6505,867.2407)	(14.0823,-29.8477,823.8501)
(11.1384,-66.8467,819.5444)	(-34.8601,-80.7880,856.5616)	(-14.0346,-83.7043,856.4460)	(23.4405,-86.9962,860.3319)	(46.4361,-88.9726,867.2175)	(11.2210,-29.8477,821.8914)
(6.8711,-66.8668,819.5508)	(-36.3515,-80.7880,858.5585)	(-15.4554,-83.4979,854.5075)	(20.5430,-85.3026,860.3319)	(43.4263,-87.4673,867.2407)	(8.3596,-29.8517,821.8879)
(6.7824,-63.8467,817.5561)	(-37.8429,-79.2983,858.5791)	(-18.4382,-82.2146,858.4773)	(17.5463,-85.3153,860.3423)	(41.9109,-87.4631,867.2317)	(6.9289,-28.4221,821.8794)
(5.6754,-65.4447,817.5708)	(-39.3343,-80.7964,856.5844)	(-19.9228,-83.7127,858.4825)	(19.0530,-85.5080,862.3349)	(41.9193,-87.6675,867.2653)	(6.9289,-29.8718,821.8928)
(3.9418,-66.6880,817.6172)	(-40.7881,-82.0872,856.5807)	(-21.4210,-83.7169,856.5071)	(15.8845,-86.8168,860.3438)	(38.9012,-87.6888,867.2280)	(5.3321,-28.4990,821.9077)
(1.3649,-62.4361,817.6024)	(-42.3170,-80.7964,858.5968)	(-21.4252,-82.0243,856.5034)	(14.5580,-85.5123,862.3349)	(37.3984,-86.1758,867.2578)	(5.3321,-28.5030,821.9260)
